"id","tou_start","tou_end","rate","tariff_type","tariff_name","rate_units","charge_type_id","weekdays","tariff_group_id","start_date","end_date","loss_factor"
52,"flat rate","flat rate",0.2772,"Environmental Schemes","Greenpower (6%)","CENTS_PER_KWH",66,"FALSE",109,"2019-01-01","2020-07-01",1.046
55,"flat rate","flat rate",0.0368,"Market Operator Charges","AEMO Market Fee","CENTS_PER_KWH",7,"FALSE",109,"2019-01-01","2020-07-01",1.046
56,"flat rate","flat rate",0.3633,"Market Operator Charges","AEMO Daily Market Fee","CENTS_PER_DAY",175,"TRUE",109,"2019-01-01","2020-07-01",1
57,"flat rate","flat rate",0.1274,"Market Operator Charges","AEMO Ancilliary Fee","CENTS_PER_KWH",6,"FALSE",109,"2019-01-01","2020-07-01",1.046
59,"flat rate","flat rate",33400,"Metering Charges","Meter Charge","CENTS_PER_ANNUM",10,"TRUE",109,"2019-01-01","2020-07-01",1
65,"flat rate","flat rate",640.585,"Retail Supply Charge","Supply Charge","CENTS_PER_DAY",41,"FALSE",113,"2018-07-01","2022-07-01",1
66,"flat rate","flat rate",0.4686,"GreenPower Charge","6% GreenPower","CENTS_PER_KWH",66,"FALSE",113,"2018-07-01","2022-07-01",1
67,"05:00:00 PM","07:59:59 PM",28.9432,"Retail ToU Charge","Peak Usage","CENTS_PER_KWH",4,"TRUE",113,"2018-07-01","2022-07-01",1
85,"flat rate","flat rate",2265,"Network Access Charge","Network Access Charge","CENTS_PER_DAY",70,"TRUE",97,"2020-07-01","2021-07-01",1
86,"flat rate","flat rate",2265,"Network Access Charge","Network Access Charge","CENTS_PER_DAY",70,"FALSE",97,"2020-07-01","2021-07-01",1
87,"4:00:00 PM","8:00:00 PM",4.2563,"Energy Charge","TUOS High-season Peak","CENTS_PER_KWH",87,"TRUE",97,"2020-07-01","2021-07-01",1
88,"4:00:00 PM","8:00:00 PM",3.6657,"Energy Charge","TUOS Low-season Peak","CENTS_PER_KWH",87,"TRUE",97,"2020-07-01","2021-07-01",1
89,"12:00:00 AM","11:59:59 PM",2.2511,"Energy Charge","TUOS Off Peak","CENTS_PER_KWH",89,"FALSE",97,"2020-07-01","2021-07-01",1
90,"4:00:00 PM","8:00:00 PM",974.55,"Demand Charge","High-season","CENTS_PER_KVA_MONTH",30,"TRUE",97,"2020-07-01","2021-07-01",1
91,"4:00:00 PM","8:00:00 PM",821.25,"Demand Charge","Low-season","CENTS_PER_KVA_MONTH",31,"TRUE",97,"2020-07-01","2021-07-01",1
92,"flat rate","flat rate",2054,"Network Access Charge","Network Access Charge","CENTS_PER_DAY",70,"TRUE",98,"2019-06-29","2020-05-30",1
93,"flat rate","flat rate",2054,"Network Access Charge","Network Access Charge","CENTS_PER_DAY",70,"FALSE",98,"2019-07-01","2020-07-01",1
99,"flat rate","flat rate",1872.9,"Network Access Charge","Network Access Charge","CENTS_PER_DAY",70,"TRUE",101,"2018-07-01","2019-07-01",1
100,"flat rate","flat rate",1872.9,"Network Access Charge","Network Access Charge","CENTS_PER_DAY",70,"FALSE",101,"2018-07-01","2019-07-01",1
101,"01:00:00 PM","07:59:59 PM",2.2687,"Energy Charge","Peak","CENTS_PER_KWH",21,"TRUE",101,"2018-07-01","2019-07-01",1
102,"07:00:00 AM","12:59:59 PM",2.15,"Energy Charge","Shoulder-1","CENTS_PER_KWH",22,"TRUE",101,"2018-07-01","2019-07-01",1
103,"07:59:59 PM","09:59:59 PM",2.15,"Energy Charge","Shoulder-2","CENTS_PER_KWH",22,"TRUE",101,"2018-07-01","2019-07-01",1
104,"12:00:00 AM","11:59:59 PM",2.0312,"Energy Charge","Off-Peak","CENTS_PER_KWH",105,"FALSE",101,"2018-07-01","2019-07-01",1
109,"flat rate","flat rate",1872.9,"Network Access Charge","Network Access Charge","CENTS_PER_DAY",70,"TRUE",102,"2017-07-01","2018-07-01",1
110,"flat rate","flat rate",1872.9,"Network Access Charge","Network Access Charge","CENTS_PER_DAY",70,"FALSE",102,"2017-07-01","2018-07-01",1
111,"1:00:00 PM","07:59:59 PM",3.37,"Energy Charge","Peak","CENTS_PER_KWH",21,"TRUE",102,"2017-07-01","2018-07-01",1
113,"12:00:00 AM","11:59:59 PM",1.4,"Energy Charge","Off-Peak","CENTS_PER_KWH",105,"FALSE",102,"2017-07-01","2018-07-01",1
114,"01:00:00 PM","07:59:59 PM",1162,"Demand Charge","High-season-1","CENTS_PER_KVA_MONTH",30,"TRUE",102,"2017-07-01","2018-07-01",1
115,"01:00:00 PM","07:59:59 PM",1162,"Demand Charge","High-season-2","CENTS_PER_KVA_MONTH",30,"TRUE",102,"2017-07-01","2018-07-01",1
116,"01:00:00 PM","07:59:59 PM",1014,"Demand Charge","Low-season-1","CENTS_PER_KVA_MONTH",31,"TRUE",102,"2017-07-01","2018-07-01",1
117,"01:00:00 PM","07:59:59 PM",1014,"Demand Charge","Low-season-2","CENTS_PER_KVA_MONTH",31,"TRUE",102,"2017-07-01","2018-07-01",1
118,"flat rate","flat rate",1845,"Network Access Charge","Network Access Charge","CENTS_PER_DAY",70,"TRUE",34,"2016-07-01","2017-07-01",1
119,"flat rate","flat rate",1845,"Network Access Charge","Network Access Charge","CENTS_PER_DAY",70,"FALSE",34,"2016-07-01","2017-07-01",1
120,"01:00:00 PM","07:59:59 PM",3.54,"Energy Charge","Peak","CENTS_PER_KWH",21,"TRUE",34,"2016-07-01","2017-07-01",1
121,"07:00:00 AM","12:59:59 PM",3.12,"Energy Charge","Shoulder-1","CENTS_PER_KWH",22,"TRUE",34,"2016-07-01","2017-07-01",1
122,"08:00:00 PM","09:59:59 PM",3.12,"Energy Charge","Shoulder-2","CENTS_PER_KWH",22,"TRUE",34,"2016-07-01","2017-07-01",1
123,"12:00:00 AM","11:59:59 PM",1.41,"Energy Charge","Off-Peak","CENTS_PER_KWH",105,"FALSE",34,"2016-07-01","2017-07-01",1
124,"01:00:00 PM","07:59:59 PM",1087,"Demand Charge","High-season-1","CENTS_PER_KVA_MONTH",30,"TRUE",34,"2016-07-01","2017-07-01",1
125,"01:00:00 PM","07:59:59 PM",1087,"Demand Charge","High-season-2","CENTS_PER_KVA_MONTH",30,"TRUE",34,"2016-07-01","2017-07-01",1
126,"01:00:00 PM","07:59:59 PM",950,"Demand Charge","Low-season-1","CENTS_PER_KVA_MONTH",31,"TRUE",34,"2016-07-01","2017-07-01",1
127,"01:00:00 PM","07:59:59 PM",950,"Demand Charge","Low-season-2","CENTS_PER_KVA_MONTH",31,"TRUE",34,"2016-07-01","2017-07-01",1
128,"flat rate","flat rate",1840,"Network Access Charge","Network Access Charge","CENTS_PER_DAY",70,"TRUE",103,"2015-07-01","2016-07-01",1
129,"flat rate","flat rate",1840,"Network Access Charge","Network Access Charge","CENTS_PER_DAY",70,"FALSE",103,"2015-07-01","2016-07-01",1
130,"01:00:00 PM","07:59:59 PM",4.0513,"Energy Charge","Peak","CENTS_PER_KWH",21,"TRUE",103,"2015-07-01","2016-07-01",1
131,"07:00:00 AM","12:59:59 PM",3.0021,"Energy Charge","Shoulder-1","CENTS_PER_KWH",22,"TRUE",103,"2015-07-01","2016-07-01",1
132,"08:00:00 PM","09:59:59 PM",3.0021,"Energy Charge","Shoulder-2","CENTS_PER_KWH",22,"TRUE",103,"2015-07-01","2016-07-01",1
133,"12:00:00 AM","11:59:59 PM",1.2982,"Energy Charge","Off-Peak","CENTS_PER_KWH",105,"FALSE",103,"2015-07-01","2016-07-01",1
134,"01:00:00 PM","07:59:59 PM",1030.26,"Demand Charge","High-season-1","CENTS_PER_KVA_MONTH",30,"TRUE",103,"2015-07-01","2016-07-01",1
135,"01:00:00 PM","07:59:59 PM",1030.26,"Demand Charge","High-season-2","CENTS_PER_KVA_MONTH",30,"TRUE",103,"2015-07-01","2016-07-01",1
136,"01:00:00 PM","07:59:59 PM",957.91,"Demand Charge","Low-season-1","CENTS_PER_KVA_MONTH",31,"TRUE",103,"2015-07-01","2016-07-01",1
137,"01:00:00 PM","07:59:59 PM",957.91,"Demand Charge","Low-season-2","CENTS_PER_KVA_MONTH",31,"TRUE",103,"2015-07-01","2016-07-01",1
152,"flat rate","flat rate",1689.5293,"Network Access Charge","Network Access Charge","CENTS_PER_DAY",70,"FALSE",105,"2020-07-01","2021-07-01",1
153,"flat rate","flat rate",1689.5293,"Network Access Charge","Network Access Charge","CENTS_PER_DAY",70,"TRUE",105,"2020-07-01","2021-07-01",1
154,"2:00:00 PM","8:00:00 PM",6.3317,"Network Energy Price","Peak summer","CENTS_PER_KWH",21,"TRUE",105,"2020-07-01","2021-07-01",1
155,"5:00:00 PM","8:59:59 PM",6.3317,"Network Energy Price","Peak winter","CENTS_PER_KWH",21,"TRUE",105,"2020-07-01","2021-07-01",1
156,"7:00:00 AM","10:00:00 PM",2.3217,"Network Energy Price","Shoulder","CENTS_PER_KWH",22,"TRUE",105,"2020-07-01","2021-07-01",1
157,"12:00:00 AM","11:59:59 PM",1.1388,"Network Energy Price","Off-Peak","CENTS_PER_KWH",23,"FALSE",105,"2020-07-01","2021-07-01",1
158,"2:00:00 PM","8:00:00 PM",33.5489,"Network Capacity Price","Peak High Season-1","CENTS_PER_KVA_PER_DAY",30,"TRUE",105,"2020-07-01","2021-07-01",1
159,"flat rate","flat rate",33.5489,"Network Capacity Price","Peak High Season-2","CENTS_PER_KVA_PER_DAY",25,"TRUE",105,"2020-07-01","2021-07-01",1
160,"2:00:00 PM","8:00:00 PM",33.5489,"Network Capacity Price","Peak Low Season-1","CENTS_PER_KVA_PER_DAY",31,"TRUE",105,"2020-07-01","2021-07-01",1
161,"2:00:00 PM","8:00:00 PM",33.5489,"Network Capacity Price","Peak Low Season-2","CENTS_PER_KVA_PER_DAY",31,"TRUE",105,"2020-07-01","2021-07-01",1
192,"02:00:00 PM","07:59:59 PM",4.9379,"Network Energy Price","Peak","CENTS_PER_KWH",21,"TRUE",108,"2016-07-01","2017-07-01",1
193,"07:00:00 AM","01:59:59 PM",2.4205,"Network Energy Price","Shoulder-1","CENTS_PER_KWH",22,"TRUE",108,"2016-07-01","2017-07-01",1
194,"8:00:00 PM","09:59:59 PM",2.4205,"Network Energy Price","Shoulder-2","CENTS_PER_KWH",22,"TRUE",108,"2016-07-01","2017-07-01",1
205,"07:00:00 AM","06:59:59 PM",2.422,"Network Tariff Component","Summer Peak Energy (c/kWh)","CENTS_PER_KWH",21,"TRUE",62,"2014-11-01","2015-03-31",1
206,"07:00:00 AM","06:59:59 PM",2.004,"Network Tariff Component","Non Summer Peak Energy Block 1 (c/kWh)","CENTS_PER_KWH",21,"TRUE",89,"2015-07-01","2015-10-31",1
207,"07:00:00 AM","06:59:59 PM",2.004,"Network Tariff Component","Non Summer Peak Energy Block 2 (c/kWh)","CENTS_PER_KWH",21,"TRUE",27,"2015-04-01","2015-06-30",1
208,"12:00:00 AM","06:59:59 AM",1.114,"Network Tariff Component","Off Peak Energy","CENTS_PER_KWH",23,"TRUE",39,"2015-01-01","2015-12-31",1
209,"07:00:00 PM","11:59:59 PM",1.114,"Network Tariff Component","Off Peak Energy","CENTS_PER_KWH",105,"FALSE",39,"2015-01-01","2015-12-31",1
210,"12:00:00 AM","06:59:59 AM",1.114,"Network Tariff Component","Off Peak Energy","CENTS_PER_KWH",23,"TRUE",39,"2015-01-01","2015-12-31",1
211,"07:00:00 AM","05:59:59 PM",17.877,"Network Tariff Component","Rolling Peak Demand c/kVA/day","CENTS_PER_KVA_PER_DAY",29,"TRUE",39,"2015-01-01","2015-12-31",1
212,"03:00:00 PM","04:59:59 PM",26.109,"Network Tariff Component","Summer Demand Incentive Charge c/kW/day or c/kVA/day","CENTS_PER_KVA_PER_DAY",74,"TRUE",62,"2014-11-01","2015-03-31",1
213,"12:00:00 AM","11:59:59 PM",7.2,"Network Tariff Component","PFIT Recovery Charge","CENTS_PER_DAY",38,"TRUE",39,"2015-01-01","2015-12-31",1
215,"07:00:00 AM","10:59:59 PM",4.3148,"Retail ToU Charge","Peak Energy","CENTS_PER_KWH",NULL,"TRUE",22,"2015-01-01","2018-12-31",1
216,"11:00:00 PM","11:59:59 PM",2.6647,"Retail ToU Charge","Off Peak Energy-1","CENTS_PER_KWH",NULL,"TRUE",22,"2015-01-01","2018-12-31",1
217,"12:00:00 AM","06:59:59 AM",2.6647,"Retail ToU Charge","Off Peak Energy-1","CENTS_PER_KWH",NULL,"TRUE",22,"2015-01-01","2018-12-31",1
218,"12:00:00 AM","11:59:59 PM",2.6647,"Retail ToU Charge","Off Peak Energy-2","CENTS_PER_KWH",NULL,"FALSE",22,"2015-01-01","2018-12-31",1
219,"flat rate","flat rate",0.00312,"Market Charge","Market Fee Ancillary Services","CENTS_PER_KWH",NULL,"FALSE",22,"2015-01-01","2018-12-31",1
220,"flat rate","flat rate",0.03247,"Market Charge","Market Fee Pool","CENTS_PER_KWH",NULL,"FALSE",22,"2015-01-01","2018-12-31",1
221,"flat rate","flat rate",0.2947,"Environmetal Charge","Environment Fee VEEC","CENTS_PER_KWH",NULL,"FALSE",22,"2015-01-01","2018-12-31",1
222,"flat rate","flat rate",0.38152,"Environmetal Charge","Environment Fee LREC","CENTS_PER_KWH",5,"FALSE",22,"2015-01-01","2018-12-31",1
223,"flat rate","flat rate",0.4684,"Environmetal Charge","Environment Fee SREC","CENTS_PER_KWH",NULL,"FALSE",22,"2015-01-01","2018-12-31",1
225,"flat rate","flat rate",246.57534,"Other","Metering Fee","CENTS_PER_DAY",NULL,"FALSE",22,"2015-01-01","2018-12-31",1
226,"12:00:00 AM","11:59:59 PM",7.2,"Network Tariff Component","PFIT Recovery Charge","CENTS_PER_DAY",38,"FALSE",39,"2015-01-01","2015-12-31",1
227,"flat rate","flat rate",246.57534,"Other","Metering Fee","CENTS_PER_DAY",NULL,"TRUE",22,"2015-01-01","2018-12-31",1
228,"flat rate","flat rate",50,"Retail Charges","Retail Service Fee","CENTS_PER_DAY",NULL,"TRUE",22,"2015-01-01","2018-12-31",1
229,"flat rate","flat rate",0.00312,"Market Charge","Market Fee Ancillary Services","CENTS_PER_KWH",NULL,"TRUE",22,"2015-01-01","2018-12-31",1
230,"flat rate","flat rate",0.03247,"Market Charge","Market Fee Pool","CENTS_PER_KWH",NULL,"TRUE",22,"2015-01-01","2018-12-31",1
231,"flat rate","flat rate",0.38152,"Environmetal Charge","Environment Fee LREC","CENTS_PER_KWH",NULL,"TRUE",22,"2015-01-01","2018-12-31",1
232,"flat rate","flat rate",0.4684,"Environmetal Charge","Environment Fee SREC","CENTS_PER_KWH",NULL,"TRUE",22,"2015-01-01","2018-12-31",1
302,"02:00:00 PM","07:59:59 PM",35.7417,"Capacity Charge","Peak","CENTS_PER_KVA_PER_DAY",NULL,"TRUE",107,"2017-07-01","2018-07-01",1
303,"10:00:00 PM","11:59:59 PM",1.2625,"Network Energy Price","Off-Peak","CENTS_PER_KWH",23,"TRUE",107,"2017-07-01","2018-07-01",1
304,"12:00:00 AM","06:59:59 AM",1.2625,"Network Energy Price","Off-Peak","CENTS_PER_KWH",23,"TRUE",107,"2017-07-01","2018-07-01",1
305,"flat rate","flat rate",1748.4816,"Network Access Charge","Network Access Charge","CENTS_PER_DAY",70,"TRUE",108,"2016-07-01","2017-07-01",1
306,"flat rate","flat rate",1748.4816,"Network Access Charge","Network Access Charge","CENTS_PER_DAY",70,"FALSE",108,"2016-07-01","2017-07-01",1
307,"12:00:00 AM","11:59:59 PM",1.6084,"Network Energy Price","Off-Peak","CENTS_PER_KWH",105,"FALSE",108,"2016-07-01","2017-07-01",1
309,"10:00:00 PM","11:59:59 PM",1.6084,"Network Energy Price","Off-Peak","CENTS_PER_KWH",23,"TRUE",108,"2016-07-01","2017-07-01",1
310,"12:00:00 AM","06:59:59 PM",1.6084,"Network Energy Price","Off-Peak","CENTS_PER_KWH",23,"TRUE",108,"2016-07-01","2017-07-01",1
312,"02:00:00 PM","07:59:59 PM",35.1909,"Capacity Charge","Peak","CENTS_PER_KVA_PER_DAY",74,"TRUE",108,"2016-07-01","2017-07-01",1
313,"flat rate","flat rate",1722.5,"Network Access Charge","Network Access Charge","CENTS_PER_DAY",70,"TRUE",60,"2015-07-01","2016-07-01",1
314,"flat rate","flat rate",1722.5,"Network Access Charge","Network Access Charge","CENTS_PER_DAY",70,"FALSE",60,"2015-07-01","2016-07-01",1
315,"02:00:00 PM","07:59:59 PM",4.8645,"Network Energy Price","Peak","CENTS_PER_KWH",21,"TRUE",60,"2015-07-01","2016-07-01",1
316,"07:00:00 AM","01:59:59 PM",2.3845,"Network Energy Price","Shoulder-1","CENTS_PER_KWH",22,"TRUE",60,"2015-07-01","2016-07-01",1
317,"08:00:00 PM","09:59:59 PM",2.3845,"Network Energy Price","Shoulder-2","CENTS_PER_KWH",22,"TRUE",60,"2015-07-01","2016-07-01",1
318,"12:00:00 AM","11:59:59 PM",1.5845,"Network Energy Price","Off-Peak","CENTS_PER_KWH",105,"FALSE",60,"2015-07-01","2016-07-01",1
319,"10:00:00 PM","11:59:59 PM",1.5845,"Network Energy Price","Off-Peak","CENTS_PER_KWH",23,"TRUE",60,"2015-07-01","2016-07-01",1
320,"12:00:00 AM","06:59:59 AM",1.5845,"Network Energy Price","Off-Peak","CENTS_PER_KWH",23,"TRUE",60,"2015-07-01","2016-07-01",1
321,"flat rate","flat rate",34.668,"Capacity Charge","Peak","CENTS_PER_KVA_PER_DAY",74,"TRUE",60,"2015-06-30","2016-07-01",1
324,"10:00:00 PM","11:59:59 PM",2.0312,"Energy Charge","Off-Peak","CENTS_PER_KWH",23,"TRUE",101,"2018-07-01","2019-07-01",1
325,"12:00:00 AM","06:59:59 AM",2.0312,"Energy Charge","Off-Peak","CENTS_PER_KWH",23,"TRUE",101,"2018-07-01","2019-07-01",1
326,"07:00:00 AM","12:59:59 PM",3.02,"Energy Charge","Shoulder-1","CENTS_PER_KWH",22,"TRUE",102,"2017-07-01","2018-07-01",1
327,"08:00:00 PM","09:59:59 PM",3.02,"Energy Charge","Shoulder-2","CENTS_PER_KWH",22,"TRUE",102,"2017-07-01","2018-07-01",1
328,"12:00:00 AM","06:59:59 AM",1.4,"Energy Charge","Off-Peak","CENTS_PER_KWH",23,"TRUE",102,"2017-07-01","2018-07-01",1
329,"10:00:00 PM","11:59:59 PM",1.4,"Energy Charge","Off Peak","CENTS_PER_KWH",23,"TRUE",102,"2017-07-01","2018-07-01",1
330,"12:00:00 AM","06:59:59 AM",1.41,"Energy Charge","Off-Peak","CENTS_PER_KWH",23,"TRUE",34,"2016-07-01","2017-07-01",1
331,"10:00:00 PM","11:59:59 PM",1.41,"Energy Charge","Off-Peak","CENTS_PER_KWH",23,"TRUE",34,"2016-07-01","2017-07-01",1
332,"12:00:00 AM","06:59:59 AM",1.2982,"Energy Charge","Off-Peak","CENTS_PER_KWH",23,"TRUE",103,"2015-07-01","2016-07-01",1
333,"10:00:00 PM","11:59:59 PM",1.2982,"Energy Charge","Off-Peak","CENTS_PER_KWH",23,"TRUE",103,"2015-07-01","2016-07-01",1
334,"flat rate","flat rate",1652.3676,"Network Access Charge","Network Access Charge","CENTS_PER_DAY",70,"TRUE",104,"2019-07-01","2020-07-01",1
335,"flat rate","flat rate",1652.3676,"Network Access Charge","Network Access Charge","CENTS_PER_DAY",70,"FALSE",104,"2019-07-01","2020-07-01",1
339,"12:00:00 AM","11:59:59 PM",1.1181,"Network Energy Price","Off-Peak","CENTS_PER_KWH",105,"FALSE",104,"2019-07-01","2020-07-01",1
346,"flat rate","flat rate",1943.9619,"Network Access Charge","Network Access Charge","CENTS_PER_DAY",70,"FALSE",106,"2018-07-01","2019-07-01",1
347,"flat rate","flat rate",1943.9619,"Network Access Charge","Network Access Charge","CENTS_PER_DAY",70,"TRUE",106,"2018-07-01","2019-07-01",1
355,"12:00:00 AM","11:59:59 PM",1.1047,"Network Energy Price","Off-Peak","CENTS_PER_KWH",105,"FALSE",106,"2018-07-01","2019-07-01",1
360,"flat rate","flat rate",1905.8449,"Network Access Charge","Network Access Charge","CENTS_PER_DAY",70,"TRUE",107,"2017-07-01","2018-07-01",1
361,"flat rate","flat rate",1905.8449,"Network Access Charge","Network Access Charge","CENTS_PER_DAY",70,"FALSE",107,"2017-07-01","2018-07-01",1
362,"02:00:00 PM","07:59:59 PM",4.9482,"Network Energy Price","Peak","CENTS_PER_KWH",21,"TRUE",107,"2017-07-01","2018-07-01",1
363,"07:00:00 AM","01:59:59 PM",2.2725,"Network Energy Price","Shoulder-1","CENTS_PER_KWH",22,"TRUE",107,"2017-07-01","2018-07-01",1
364,"08:00:00 PM","09:59:59 PM",2.2725,"Network Energy Price","Shoulder-2","CENTS_PER_KWH",22,"TRUE",107,"2017-07-01","2018-07-01",1
365,"12:00:00 AM","11:59:59 PM",1.2625,"Network Energy Price","Off-Peak","CENTS_PER_KWH",105,"FALSE",107,"2017-07-01","2018-07-01",1
373,"flat rate","flat rate",0.1966,"Environmental Schemes","NESC","CENTS_PER_KWH",85,"FALSE",109,"2019-01-01","2020-07-01",1.046
374,"flat rate","flat rate",100,"Metering Charges","Principals Asset Dashboard Fee","CENTS_PER_MONTH",174,"FALSE",109,"2019-01-01","2020-07-01",1
375,"flat rate","flat rate",33400,"Metering Charges","Meter Charge","CENTS_PER_ANNUM",11,"FALSE",109,"2019-01-01","2020-07-01",1
376,"flat rate","flat rate",0.3633,"Market Operator Charges","AEMO Daily Market Fee","CENTS_PER_DAY",175,"FALSE",109,"2019-01-01","2020-07-01",1
377,"07:00:00 AM","08:59:59 AM",9.484,"Retail Charges","NSW Peak","CENTS_PER_KWH",4,"TRUE",110,"2018-07-01","2019-07-01",1
378,"05:00:00 PM","07:59:59 PM",9.484,"Retail Charges","NSW Peak","CENTS_PER_KWH",4,"TRUE",110,"2018-07-01","2019-07-01",1
379,"10:00:00 PM","11:59:59 PM",6.567,"Retail Charges","NSW Off-Peak","CENTS_PER_KWH",3,"TRUE",110,"2018-07-01","2019-07-01",1
380,"12:00:00 AM","06:59:59 AM",6.567,"Retail Charges","NSW Off-Peak","CENTS_PER_KWH",3,"TRUE",110,"2018-07-01","2019-07-01",1
381,"12:00:00 AM","11:59:59 PM",6.567,"Retail Charges","NSW Off-Peak","CENTS_PER_KWH",106,"FALSE",110,"2018-07-01","2019-07-01",1
