"id","tou_start","tou_end","rate","tariff_type","tariff_name","rate_units","charge_type_id","weekdays","tariff_group_id","start_date","end_date","loss_factor"
548,"02:00:00 PM","07:59:59 PM",32.811,"Network Capacity Price","Peak Low Season-1","CENTS_PER_KVA_PER_DAY",31,"TRUE",124,"2022-04-01","2020-06-01",1
549,"02:00:00 PM","07:59:59 PM",32.811,"Network Capacity Price","Peak Low Season-2","CENTS_PER_KVA_PER_DAY",31,"TRUE",125,"2019-10-01","2019-12-01",1
550,"02:00:00 PM","07:59:59 PM",5.2847,"Network Energy Price","Peak summer","CENTS_PER_KWH",21,"TRUE",128,"2018-11-01","2019-04-01",1
552,"07:00:00 AM","02:00:00 PM",2.4197,"Network Energy Price","Shoulder-1","CENTS_PER_KWH",22,"TRUE",128,"2018-11-01","2019-04-01",1
553,"07:00:00 AM","02:00:00 PM",2.4197,"Network Energy Price","Shoulder-3","CENTS_PER_KWH",22,"TRUE",128,"2018-11-01","2019-04-01",1
554,"02:00:00 PM","07:59:59 PM",36.4566,"Network Capacity Price","Peak-1","CENTS_PER_KVA_PER_DAY",21,"TRUE",128,"2018-11-01","2019-04-01",1
556,"07:00:00 AM","01:59:59 PM",2.2747,"Network Energy Price","Shoulder","CENTS_PER_KWH",22,"TRUE",121,"2019-11-01","2020-04-01",1
557,"8:00:00 PM","09:59:59 PM",2.2747,"Network Energy Price","Shoulder","CENTS_PER_KWH",22,"TRUE",121,"2019-11-01","2020-04-01",1
560,"02:00:00 PM","07:59:59 PM",5.2847,"Network Energy Price","Peak winter","CENTS_PER_KWH",21,"TRUE",127,"2018-07-01","2018-09-01",1
561,"07:00:00 AM","01:59:59 PM",2.4197,"Network Energy Price","Shoulder-2","CENTS_PER_KWH",22,"TRUE",127,"2018-07-01","2018-09-01",1
562,"08:00:00 PM","09:59:59 PM",2.4197,"Network Energy Price","Shoulder-4","CENTS_PER_KWH",22,"TRUE",127,"2018-07-01","2018-09-01",1
563,"02:00:00 PM","07:59:59 PM",36.4566,"Network Capacity Price","Peak-2","CENTS_PER_KVA_PER_DAY",74,"TRUE",127,"2018-07-01","2018-09-01",1
564,"10:00:00 PM","11:59:59 PM",1.1047,"Network Energy Price","Off Peak","CENTS_PER_KWH",23,"TRUE",127,"2018-07-01","2018-09-01",1
565,"12:00:00 AM","06:59:59 AM",1.1047,"Network Energy Price","Off Peak","CENTS_PER_KWH",23,"TRUE",127,"2018-07-01","2018-09-01",1
566,"flat rate","flat rate",640.585,"Retail Supply Charge","Supply Charge","CENTS_PER_DAY",41,"TRUE",113,"2018-07-01","2022-07-01",1
567,"08:00:00 PM","11:59:59 PM",1.9851,"Energy Charge","STOU Off Peak","CENTS_PER_KWH",23,"TRUE",115,"2019-11-01","2020-03-01",1
568,"12:00:00 AM","03:59:59 PM",1.9851,"Energy Charge","STOU Off Peak","CENTS_PER_KWH",23,"TRUE",115,"2019-11-01","2020-03-01",1
569,"08:00:00 PM","11:59:59 PM",1.9851,"Energy Charge","STOU Off Peak","CENTS_PER_KWH",NULL,"TRUE",116,"2019-07-01","2019-11-01",1
570,"12:00:00 AM","03:59:59 PM",1.9851,"Energy Charge","STOU Off Peak","CENTS_PER_KWH",23,"TRUE",116,"2019-07-01","2019-11-01",1
572,"07:00:00 AM","08:59:59 AM",9.8369,"Retail Charges","Peak","CENTS_PER_KWH",4,"TRUE",130,"2019-07-01","2020-07-01",1.06078
573,"05:00:00 PM","07:59:59 PM",9.8369,"Retail Charges","Peak","CENTS_PER_KWH",4,"TRUE",130,"2019-07-01","2020-07-01",1.06078
574,"09:00:00 AM","04:59:59 PM",9.8369,"Retail Charges","Shoulder","CENTS_PER_KWH",62,"TRUE",130,"2019-07-01","2020-07-01",1.06078
575,"08:00:00 PM","09:59:59 PM",9.8369,"Retail Charges","Shoulder","CENTS_PER_KWH",62,"TRUE",130,"2019-07-01","2020-07-01",1.06078
576,"12:00:00 AM","06:59:59 AM",6.7914,"Retail Charges","Off Peak","CENTS_PER_KWH",3,"TRUE",130,"2019-07-01","2020-07-01",1.06078
577,"10:00:00 PM","11:59:59 PM",6.7914,"Retail Charges","Off Peak","CENTS_PER_KWH",3,"TRUE",130,"2019-07-01","2020-07-01",1.06078
578,"12:00:00 AM","11:59:59 PM",6.7914,"Retail Charges","Off Peak","CENTS_PER_KWH",3,"FALSE",130,"2019-07-01","2020-07-01",1.06078
579,"flat rate","flat rate",0.1966,"Environmental Schemes","NESC","CENTS_PER_KWH",115,"FALSE",130,"2019-07-01","2020-07-01",1.0628
580,"flat rate","flat rate",0.1966,"Environmental Schemes","NESC","CENTS_PER_KWH",164,"TRUE",130,"2019-07-01","2020-07-01",1.0628
581,"flat rate","flat rate",0.2772,"Environmental Schemes","Greenpower (6%)","CENTS_PER_KWH",66,"FALSE",130,"2019-07-01","2020-07-01",1.0628
582,"flat rate","flat rate",0.2772,"Environmental Schemes","Greenpower (6%)","CENTS_PER_KWH",66,"TRUE",130,"2019-07-01","2020-07-01",1.0628
583,"flat rate","flat rate",0.9249,"Environmental Schemes","SRECs","CENTS_PER_KWH",8,"FALSE",130,"2019-07-01","2020-07-01",1.0628
584,"flat rate","flat rate",0.9249,"Environmental Schemes","SRECs","CENTS_PER_KWH",8,"TRUE",130,"2019-07-01","2020-07-01",1.0628
585,"flat rate","flat rate",0.5028,"Environmental Schemes","LRECs","CENTS_PER_KWH",5,"FALSE",130,"2019-07-01","2020-07-01",1.0628
586,"flat rate","flat rate",0.5028,"Environmental Schemes","LRECs","CENTS_PER_KWH",5,"TRUE",130,"2019-07-01","2020-07-01",1.0628
587,"flat rate","flat rate",100,"Metering Charges","Pricipals Dashboard Fee","CENTS_PER_MONTH",174,"FALSE",130,"2019-07-01","2020-07-01",1
588,"flat rate","flat rate",100,"Metering Charges","Pricipals Dashboard Fee","CENTS_PER_MONTH",174,"TRUE",130,"2019-07-01","2020-07-01",1
589,"flat rate","flat rate",33400,"Metering Charges","Meter Charge","CENTS_PER_ANNUM",11,"FALSE",130,"2019-07-01","2020-07-01",1
590,"flat rate","flat rate",33400,"Metering Charges","Meter Charge","CENTS_PER_ANNUM",11,"TRUE",130,"2019-07-01","2020-07-01",1
591,"flat rate","flat rate",0.1274,"Market Operator Charges","AEMO Ancilliary Fee","CENTS_PER_KWH",6,"FALSE",130,"2019-07-01","2020-07-01",1.0628
592,"flat rate","flat rate",0.1274,"Market Operator Charges","AEMO Ancilliary Fee","CENTS_PER_KWH",6,"TRUE",130,"2019-07-01","2020-07-01",1.0628
593,"flat rate","flat rate",0.03633,"Market Operator Charges","AEMO Market Fee","CENTS_PER_KWH",7,"FALSE",130,"2019-07-01","2020-07-01",1.0628
594,"flat rate","flat rate",0.03633,"Market Operator Charges","AEMO Market Fee","CENTS_PER_KWH",7,"TRUE",130,"2019-07-01","2020-07-01",1.0628
595,"flat rate","flat rate",0.3633,"Market Operator Charges","AEMO Market Fee","CENTS_PER_DAY",7,"FALSE",130,"2019-07-01","2020-07-01",1
596,"flat rate","flat rate",0.3633,"Market Operator Charges","AEMO Market Fee","CENTS_PER_DAY",7,"TRUE",130,"2019-07-01","2020-07-01",1
597,"flat rate","flat rate",32.811,"Network Charges","EA305 - Capacity","CENTS_PER_KVA_PER_DAY",74,"TRUE",123,"2019-01-01","2020-07-01",1
598,"04:00:00 PM","07:59:59 PM",3.3741,"Network Energy Price","Winter Peak","CENTS_PER_KWH",21,"TRUE",98,"2019-07-01","2019-10-01",1
601,"12:00:00 AM","11:59:59 PM",1.9851,"Network Energy Price","Off Peak","CENTS_PER_KWH",23,"FALSE",98,"2019-07-01","2020-07-01",1
603,"12:00:00 AM","03:59:59 PM",1.9851,"Network Energy Price","Off Peak","CENTS_PER_KWH",23,"TRUE",98,"2019-07-01","2020-07-01",1
604,"08:00:00 PM","11:59:59 PM",1.9851,"Network Energy Price","Off Peak","CENTS_PER_KWH",23,"TRUE",98,"2019-07-01","2020-07-01",1
608,"02:00:00 PM","07:59:59 PM",6.195,"Network Energy Price","Summer Peak","CENTS_PER_KWH",21,"TRUE",104,"2019-11-01","2020-04-01",1
609,"02:00:00 PM","07:59:59 PM",6.195,"Network Energy Price","Winter Peak","CENTS_PER_KWH",21,"TRUE",104,"2019-07-01","2019-09-01",1
610,"07:00:00 AM","01:59:59 PM",2.2747,"Network Energy Price","Shoulder 1 Morning ","CENTS_PER_KWH",22,"TRUE",104,"2019-09-01","2019-11-01",1
611,"08:00:00 PM","09:59:59 PM",2.2747,"Network Energy Price","Shoulder 1 evening","CENTS_PER_KWH",22,"TRUE",104,"2019-09-01","2019-11-01",1
612,"07:00:00 AM","01:59:59 PM",2.2747,"Network Energy Price","Shoulder 2 Morning","CENTS_PER_KWH",22,"TRUE",104,"2020-04-01","2020-06-01",1
613,"08:00:00 PM","09:59:59 PM",2.2747,"Network Energy Price","Shoulder 2 evening","CENTS_PER_KWH",22,"TRUE",104,"2020-04-01","2020-06-01",1
616,"02:00:00 PM","07:59:59 PM",6.195,"Network Energy Price","Winter Peak","CENTS_PER_KWH",21,"TRUE",104,"2020-06-01","2020-07-01",1
617,"10:00:00 PM","11:59:59 PM",1.1181,"Network Energy Price","Off Peak","CENTS_PER_KWH",23,"TRUE",104,"2019-07-01","2020-07-01",1
618,"12:00:00 AM","07:59:59 AM",1.1181,"Network Energy Price","Off Peak","CENTS_PER_KWH",23,"TRUE",104,"2019-07-01","2020-07-01",1
619,"flat rate","flat rate",32.811,"Network Capacity Price","Capacity","CENTS_PER_KVA_PER_DAY",74,"TRUE",104,"2019-07-01","2020-07-01",1
620,"flat rate","flat rate",32.811,"Network Capacity Price","Capacity","CENTS_PER_KVA_PER_DAY",74,"FALSE",104,"2019-07-01","2020-07-01",1
622,"flat rate","flat rate",0.2204,"Retail Charges","NESC","CENTS_PER_KWH",177,"FALSE",131,"2018-07-01","2019-07-01",1.0477
623,"flat rate","flat rate",0.2204,"Retail Charges","NESC","CENTS_PER_KWH",177,"TRUE",131,"2018-07-01","2019-07-01",1.0477
624,"flat rate","flat rate",0.7946,"Retail Charges","SRECs","CENTS_PER_KWH",8,"TRUE",131,"2018-07-01","2019-07-01",1.0477
625,"flat rate","flat rate",0.7946,"Retail Charges","SRECs","CENTS_PER_KWH",8,"FALSE",131,"2018-07-01","2019-07-01",1.0477
626,"flat rate","flat rate",1.6442,"Retail Charges","LRECs","CENTS_PER_KWH",5,"TRUE",131,"2018-07-01","2019-07-01",1.0477
627,"flat rate","flat rate",1.6442,"Retail Charges","LRECs","CENTS_PER_KWH",5,"FALSE",131,"2018-07-01","2019-07-01",1.0477
628,"flat rate","flat rate",0.5163,"Retail Charges","Greenpower (6%)","CENTS_PER_KWH",66,"TRUE",131,"2018-07-01","2019-07-01",1.0477
629,"flat rate","flat rate",0.5163,"Retail Charges","Greenpower (6%)","CENTS_PER_KWH",66,"FALSE",131,"2018-07-01","2019-07-01",1.0477
630,"07:00:00 AM","08:59:59 AM",9.484,"Retail Charges","NSW Peak","CENTS_PER_KWH",4,"TRUE",131,"2018-07-01","2019-07-01",1.01197
631,"05:00:00 PM","07:59:59 PM",9.484,"Retail Charges","NSW Peak","CENTS_PER_KWH",4,"TRUE",131,"2018-07-01","2019-07-01",1.01197
632,"09:00:00 AM","04:59:59 PM",9.484,"Retail Charges","NSW Shoulder","CENTS_PER_KWH",62,"TRUE",131,"2018-07-01","2019-07-01",1.01197
633,"08:00:00 PM","09:59:59 PM",9.484,"Retail Charges","NSW Shoulder","CENTS_PER_KWH",62,"TRUE",131,"2018-07-01","2019-07-01",1.01197
634,"12:00:00 AM","06:59:59 AM",6.567,"Retail Charges","NSW Off-Peak","CENTS_PER_KWH",3,"TRUE",131,"2018-07-01","2019-07-01",1.01197
635,"10:00:00 PM","11:59:59 PM",6.567,"Retail Charges","NSW Off-Peak","CENTS_PER_KWH",3,"TRUE",131,"2018-07-01","2019-07-01",1.01197
636,"12:00:00 AM","11:59:59 PM",6.567,"Retail Charges","NSW Off-Peak","CENTS_PER_KWH",3,"FALSE",131,"2018-07-01","2019-07-01",1.01197
637,"flat rate","flat rate",0.0814,"Retail Charges","AEMO Ancillary Fee","CENTS_PER_KWH",6,"TRUE",131,"2018-07-01","2019-07-01",1.0477
638,"flat rate","flat rate",0.0814,"Retail Charges","AEMO Ancillary Fee","CENTS_PER_KWH",6,"FALSE",131,"2018-07-01","2019-07-01",1.0477
639,"flat rate","flat rate",0.0401,"Retail Charges","AEMO Market Fee","CENTS_PER_KWH",7,"TRUE",131,"2018-07-01","2019-07-01",1.0477
640,"flat rate","flat rate",0.0401,"Market Operator Charges","AEMO Market Fee","CENTS_PER_KWH",7,"FALSE",131,"2018-07-01","2019-07-01",1.0477
641,"flat rate","flat rate",100,"Metering Charges","Principals Asset Dashboard Fee","CENTS_PER_MONTH",174,"TRUE",131,"2018-07-01","2019-07-01",1
642,"flat rate","flat rate",100,"Metering Charges","Principals Asset Dashboard Fee","CENTS_PER_MONTH",174,"FALSE",131,"2018-07-01","2019-07-01",1
643,"flat rate","flat rate",34400,"Metering Charges","Meter Charge","CENTS_PER_ANNUM",11,"TRUE",131,"2018-07-01","2019-07-01",1
644,"flat rate","flat rate",34400,"Metering Charges","Meter Charge","CENTS_PER_ANNUM",11,"FALSE",131,"2018-07-01","2019-07-01",1
647,"flat rate","flat rate",36.4566,"Network Charges","Capacity","CENTS_PER_KVA_PER_DAY",74,"TRUE",132,"2018-07-01","2019-07-01",1
648,"02:00:00 PM","07:59:59 PM",6.195,"Network Energy Price","Summer Peak","CENTS_PER_KWH",21,"TRUE",132,"2018-11-01","2019-04-01",1
649,"02:00:00 PM","07:59:59 PM",5.2847,"Network Energy Price","Winter Peak","CENTS_PER_KWH",21,"TRUE",132,"2019-06-01","2019-07-01",1
650,"07:00:00 AM","01:59:59 PM",2.2747,"Network Energy Price","Shoulder 2 morning","CENTS_PER_KWH",22,"TRUE",132,"2019-04-01","2019-06-01",1
651,"08:00:00 PM","09:59:59 PM",2.2747,"Network Energy Price","Shoulder 2 evening","CENTS_PER_KWH",22,"TRUE",132,"2019-04-01","2019-06-01",1
652,"07:00:00 AM","01:59:59 PM",2.4197,"Network Energy Price","Shoulder 1 morning","CENTS_PER_KWH",22,"TRUE",132,"2018-09-01","2018-11-01",1
653,"08:00:00 PM","09:59:59 PM",2.4197,"Network Energy Price","Shoulder 1 evening","CENTS_PER_KWH",22,"TRUE",132,"2018-09-01","2018-11-01",1
657,"10:00:00 PM","11:59:59 PM",1.1047,"Network Charges","Off Peak","CENTS_PER_KWH",23,"TRUE",132,"2018-07-01","2019-07-01",1
658,"12:00:00 AM","07:59:59 AM",1.1047,"Network Charges","Off Peak","CENTS_PER_KWH",23,"TRUE",132,"2018-07-01","2019-07-01",1
659,"flat rate","flat rate",36.4566,"Network Charges","Capacity","CENTS_PER_KVA_PER_DAY",74,"FALSE",132,"2018-07-01","2019-07-01",1
660,"flat rate","flat rate",1943.9619,"Network Charges","Network Access Charge","CENTS_PER_DAY",70,"TRUE",132,"2018-07-01","2019-07-01",1
661,"flat rate","flat rate",1943.9619,"Network Charges","Network Access Charge","CENTS_PER_DAY",70,"FALSE",132,"2018-07-01","2019-07-01",1
662,"12:00:00 AM","11:59:59 PM",1.1047,"Network Charges","Off Peak","CENTS_PER_KWH",105,"FALSE",132,"2018-07-01","2019-07-01",1
663,"flat rate","flat rate",15,"Retail Charges","Test - Off Peak","CENTS_PER_KWH",3,"FALSE",133,"2023-07-01","2024-07-01",1
664,"flat rate","flat rate",22,"Export","Feed in Tariff","EXPORT_CENTS_PER_KWH",178,"TRUE",133,"2023-07-01","2024-07-01",1
665,"flat rate","flat rate",22,"Export","Feed in Tariff","EXPORT_CENTS_PER_KWH",178,"FALSE",133,"2023-07-01","2024-07-01",1
666,"07:00:00 AM","08:59:59 AM",9.484,"Retail Charges","NSW Peak - Feed In","EXPORT_CENTS_PER_KWH",178,"TRUE",131,"2018-07-01","2019-07-01",1
667,"05:00:00 PM","07:59:59 PM",9.484,"Retail Charges","NSW Peak - Feed In","EXPORT_CENTS_PER_KWH",178,"TRUE",131,"2018-07-01","2019-07-01",1
668,"09:00:00 AM","04:59:59 PM",9.484,"Retail Charges","NSW Shoulder - Feed In","EXPORT_CENTS_PER_KWH",178,"TRUE",131,"2018-07-01","2019-07-01",1
669,"08:00:00 PM","09:59:59 PM",9.484,"Retail Charges","NSW Shoulder - Feed In","EXPORT_CENTS_PER_KWH",178,"TRUE",131,"2018-07-01","2019-07-01",1
670,"12:00:00 AM","11:59:59 PM",6.567,"Retail Charges","NSW Off-Peak - Feed In","EXPORT_CENTS_PER_KWH",178,"FALSE",131,"2018-07-01","2019-07-01",1
671,"10:00:00 PM","11:59:59 PM",6.567,"Retail Charges","NSW Off-Peak - Feed In","EXPORT_CENTS_PER_KWH",178,"TRUE",131,"2018-07-01","2019-07-01",1
672,"12:00:00 AM","06:59:59 AM",6.567,"Retail Charges","NSW Off-Peak - Feed In","EXPORT_CENTS_PER_KWH",178,"TRUE",131,"2018-07-01","2019-07-01",1
673,"07:00:00 AM","08:59:59 AM",9.484,"Retail Charges","NSW Peak - Feed In","EXPORT_CENTS_PER_KWH",178,"TRUE",130,"2019-07-01","2020-07-01",1
674,"05:00:00 PM","07:59:59 PM",9.484,"Retail Charges","NSW Peak - Feed In","EXPORT_CENTS_PER_KWH",178,"TRUE",130,"2019-07-01","2020-07-01",1
675,"09:00:00 AM","04:59:59 PM",9.484,"Retail Charges","NSW Shoulder - Feed In","EXPORT_CENTS_PER_KWH",178,"TRUE",130,"2019-07-01","2020-07-01",1
676,"08:00:00 PM","09:59:59 PM",9.484,"Retail Charges","NSW Shoulder - Feed In","EXPORT_CENTS_PER_KWH",178,"TRUE",130,"2019-07-01","2020-07-01",1
677,"12:00:00 AM","11:59:59 PM",6.567,"Retail Charges","NSW Off-Peak - Feed In","EXPORT_CENTS_PER_KWH",178,"FALSE",130,"2019-07-01","2020-07-01",1
678,"10:00:00 PM","11:59:59 PM",6.567,"Retail Charges","NSW Off-Peak - Feed In","EXPORT_CENTS_PER_KWH",178,"TRUE",130,"2019-07-01","2020-07-01",1
679,"12:00:00 AM","06:59:59 AM",6.567,"Retail Charges","NSW Off-Peak - Feed In","EXPORT_CENTS_PER_KWH",178,"TRUE",130,"2019-07-01","2020-07-01",1
680,"flat rate","flat rate",9,"Retail Charges","Feed in Tariff","EXPORT_CENTS_PER_KWH",178,"TRUE",134,"2018-01-01","2024-01-01",1
681,"flat rate","flat rate",9,"Retail Charges","Feed in Tariff","EXPORT_CENTS_PER_KWH",178,"FALSE",134,"2018-01-01","2024-01-01",1
682,"flat rate","flat rate",857.05,"Network Energy Price","Winter Demand","CENTS_PER_KVA_MONTH",32,"TRUE",98,"2019-07-01","2019-10-01",1
683,"flat rate","flat rate",857.05,"Network Energy Price","Winter Demand","CENTS_PER_KVA_MONTH",32,"FALSE",98,"2019-07-01","2019-10-01",1
684,"flat rate","flat rate",1003.45,"Network Energy Price","Summer Demand","CENTS_PER_KVA_MONTH",32,"FALSE",98,"2019-11-01","2020-03-01",1
685,"flat rate","flat rate",1003.45,"Network Energy Price","Summer Demand","CENTS_PER_KVA_MONTH",32,"TRUE",98,"2019-11-01","2020-03-01",1
686,"04:00:00 PM","07:59:59 PM",3.9541,"Network Energy Price","Summer Peak","CENTS_PER_KWH",21,"TRUE",98,"2019-11-01","2020-03-01",1
687,"01:00:00 PM","07:59:59 PM",2.2687,"Network Energy Price","Peak","CENTS_PER_KWH",21,"TRUE",135,"2018-07-01","2019-07-01",1
688,"12:00:00 AM","11:59:59 PM",2.0312,"Network Energy Price","Off Peak","CENTS_PER_KWH",23,"FALSE",135,"2018-07-01","2019-07-01",1
689,"12:00:00 AM","7:00:00 AM",2.0312,"Network Energy Price","Off Peak","CENTS_PER_KWH",23,"TRUE",135,"2018-07-01","2019-07-01",1
690,"10:00:00 PM","11:59:59 PM",2.0312,"Network Energy Price","Off Peak","CENTS_PER_KWH",23,"TRUE",135,"2018-07-01","2019-07-01",1
691,"flat rate","flat rate",982.25,"Network Energy Price","Demand","CENTS_PER_KVA_MONTH",32,"TRUE",135,"2018-07-01","2019-07-01",1
696,"flat rate","flat rate",1872.9,"Network Access Charge","Network Access Charge","CENTS_PER_DAY",70,"TRUE",135,"2018-07-01","2019-07-01",1
697,"flat rate","flat rate",1872.9,"Network Access Charge","Network Access Charge","CENTS_PER_DAY",70,"FALSE",135,"2018-07-01","2019-07-01",1
698,"flat rate","flat rate",982.25,"Network Energy Price","Demand","CENTS_PER_KVA_MONTH",32,"FALSE",135,"2018-07-01","2019-07-01",1
699,"7:00:00 AM","12:59:59 PM",2.15,"Network Energy Price","Shoulder","CENTS_PER_KWH",22,"FALSE",135,"2018-06-30","2019-06-30",1
700,"8:00:00 PM","9:59:59 PM",2.15,"Network Energy Price","Shoulder","CENTS_PER_KWH",22,"FALSE",135,"2018-06-30","2019-06-30",1
701,"02:00:00 PM","07:59:59 PM",6.195,"Network Energy Price","Winter peak","CENTS_PER_KWH",21,"TRUE",132,"2018-07-01","2018-09-01",1
702,"7:00:00 AM","8:59:59 AM",5.5161,"Network Energy Price","Peak","CENTS_PER_KWH",21,"TRUE",137,"2018-06-30","2020-06-30",1
703,"5:00:00 PM","7:59:59 PM",5.5161,"Network Energy Price","Peak","CENTS_PER_KWH",21,"TRUE",137,"2018-06-30","2020-06-30",1
704,"9:00:00 AM","4:59:59 PM",4.3921,"Network Energy Price","Shoulder","CENTS_PER_KWH",22,"TRUE",137,"2018-06-30","2020-06-30",1
705,"8:00:00 PM","9:59:59 PM",4.3921,"Network Energy Price","Shoulder","CENTS_PER_KWH",22,"TRUE",137,"2018-06-30","2020-06-30",1
706,"10:00:00 PM","11:59:59 PM",2.6187,"Network Energy Price","Off Peak","CENTS_PER_KWH",23,"TRUE",137,"2018-06-30","2020-06-30",1
707,"12:00:00 AM","06:59:59 AM",2.6187,"Network Energy Price","Off Peak","CENTS_PER_KWH",23,"TRUE",137,"2018-06-30","2020-06-30",1
708,"12:00:00 AM","11:59:59 PM",2.6187,"Network Energy Price","Off Peak","CENTS_PER_KWH",23,"FALSE",137,"2018-06-30","2020-06-30",1
709,"flat rate","flat rate",142.25,"Market Operator Charges","Network Charge","CENTS_PER_DAY",70,"FALSE",137,"2018-06-30","2020-06-30",1
710,"flat rate","flat rate",142.25,"Market Operator Charges","Network Charge","CENTS_PER_DAY",70,"TRUE",137,"2018-06-30","2020-06-30",1
711,"flat rate","flat rate",641.49,"Demand Charge","Network peak","CENTS_PER_KVA_MONTH",25,"FALSE",137,"2018-06-30","2020-06-30",1
712,"flat rate","flat rate",641.49,"Demand Charge","Network peak","CENTS_PER_KVA_MONTH",25,"TRUE",137,"2018-06-30","2020-06-30",1
